organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
100016,,L,2025-H1,SO,HH,P1,PL,Rigid,,,458,,,G
100016,,L,2025-H1,PF,NH,P2,PC,,,,541,,,
100016,,L,2025-H1,IM,HH,P1,GL,,,,624,,,G
100017,,L,2025-H1,SO,HH,P1,PL,Rigid,,,495,,,G
100017,,L,2025-H1,PF,NH,P2,PC,,,,578,,,
100017,,L,2025-H1,IM,HH,P1,GL,,,,661,,,G
100018,,L,2025-H1,SO,HH,P1,PL,Rigid,,,533,,,G
100018,,L,2025-H1,PF,NH,P2,PC,,,,616,,,
100018,,L,2025-H1,IM,HH,P1,GL,,,,699,,,G
100019,,L,2025-H1,SO,HH,P1,PL,Rigid,,,570,,,G
100019,,L,2025-H1,PF,NH,P2,PC,,,,653,,,
100019,,L,2025-H1,IM,HH,P1,GL,,,,736,,,G
100020,,L,2025-H1,SO,HH,P1,PL,Rigid,,,608,,,G
100020,,L,2025-H1,PF,NH,P2,PC,,,,691,,,
100020,,L,2025-H1,IM,HH,P1,GL,,,,774,,,G
