organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
110001,,L,2025-H2,SO,HH,P1,PL,Rigid,,,458,,,G
110001,,L,2025-H2,PF,NH,P2,PC,,,,541,,,
110001,,L,2025-H2,IM,HH,P1,GL,,,,624,,,G
110002,,L,2025-H2,SO,HH,P1,PL,Rigid,,,495,,,G
110002,,L,2025-H2,PF,NH,P2,PC,,,,578,,,
110002,,L,2025-H2,IM,HH,P1,GL,,,,661,,,G
110003,,L,2025-H2,SO,HH,P1,PL,Rigid,,,533,,,G
110003,,L,2025-H2,PF,NH,P2,PC,,,,616,,,
110003,,L,2025-H2,IM,HH,P1,GL,,,,699,,,G
110004,,L,2025-H2,SO,HH,P1,PL,Rigid,,,570,,,G
110004,,L,2025-H2,PF,NH,P2,PC,,,,653,,,
110004,,L,2025-H2,IM,HH,P1,GL,,,,736,,,G
110005,,L,2025-H2,SO,HH,P1,PL,Rigid,,,608,,,G
110005,,L,2025-H2,PF,NH,P2,PC,,,,691,,,
110005,,L,2025-H2,IM,HH,P1,GL,,,,774,,,G
110006,,S,2025-P0,SO,SP,P1,PL,,,,287,,,
110006,,S,2025-P0,PF,SP,P2,PC,,,,370,,,
110006,,S,2025-P0,IM,SP,P1,GL,,,,453,,,
110007,,S,2025-P0,SO,SP,P1,PL,,,,325,,,
110007,,S,2025-P0,PF,SP,P2,PC,,,,408,,,
110007,,S,2025-P0,IM,SP,P1,GL,,,,491,,,
110008,,S,2025-P0,SO,SP,P1,PL,,,,362,,,
110008,,S,2025-P0,PF,SP,P2,PC,,,,445,,,
110008,,S,2025-P0,IM,SP,P1,GL,,,,528,,,
110009,,S,2025-P0,SO,SP,P1,PL,,,,400,,,
110009,,S,2025-P0,PF,SP,P2,PC,,,,483,,,
110009,,S,2025-P0,IM,SP,P1,GL,,,,566,,,
110010,,S,2025-P0,SO,SP,P1,PL,,,,437,,,
110010,,S,2025-P0,PF,SP,P2,PC,,,,520,,,
110010,,S,2025-P0,IM,SP,P1,GL,,,,603,,,
