organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
165282,,L,2025-H1,SO,HH,P1,PL,Flexible,,,1500,,,G
165282,,L,2025-H1,SO,HH,P1,PC,,,,2200,,,
165282,,L,2025-H1,SO,HH,P1,GL,,,,3100,,,G
165282,,L,2025-H1,SO,HH,P1,AL,,,,450,,,G
165282,,L,2025-H1,SO,HH,P1,ST,,,,800,,,
165282,,L,2025-H1,PF,NH,P2,WD,,,,1200,,,
165282,,L,2025-H1,PF,NH,P2,FC,,,,900,,,
165282,,L,2025-H1,IM,HH,P1,PL,Flexible,,,2500,,,G
165282,,L,2025-H1,IM,HH,P1,OT,Rubber,,,350,,,G
165282,,L,2025-H1,,CW,O1,PL,,EN,,5000,,,
165282,,L,2025-H1,,CW,O1,PL,,SC,,1800,,,
165282,,L,2025-H1,,OW,O2,PC,,EN,,4200,,,
165282,,L,2025-H1,,OW,O2,GL,,NI,,6700,,,
165282,,L,2025-H1,,OW,O2,WD,,WS,,3300,,,
165282,165283,L,2025-H1,SO,HH,P1,PL,Rigid,,,525,,,
165282,165283,L,2025-H1,PF,NH,P2,PC,,,,315,,,
165282,165283,L,2025-H1,IM,HH,P1,GL,,,,1085,,,G
165282,165283,L,2025-H1,SO,HH,P1,AL,,,,158,,,G
165282,165283,L,2025-H1,,CW,O1,PL,,EN,,1750,,,
165282,165284,L,2025-H1,SO,HH,P1,PL,Rigid,,,330,,,G
165282,165284,L,2025-H1,PF,NH,P2,PC,,,,198,,,
165282,165284,L,2025-H1,IM,HH,P1,GL,,,,682,,,G
165282,165284,L,2025-H1,SO,HH,P1,AL,,,,99,,,G
165282,165284,L,2025-H1,,CW,O1,PL,,EN,,1100,,,
