organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
165282,,L,2025-H2,SO,HH,P1,PL,Rigid,,,2050,,,G
165282,,L,2025-H2,PF,NH,P2,PC,,,,1240,,,
165282,,L,2025-H2,IM,HH,P1,GL,,,,3910,,,G
165282,,L,2025-H2,SO,HH,P1,AL,,,,585,,,G
165282,,L,2025-H2,,CW,O1,PL,,EN,,6840,,,
165282,165283,L,2025-H2,SO,HH,P1,PL,Rigid,,,718,,,G
165282,165283,L,2025-H2,PF,NH,P2,PC,,,,434,,,
165282,165283,L,2025-H2,IM,HH,P1,GL,,,,1368,,,G
165282,165283,L,2025-H2,SO,HH,P1,AL,,,,205,,,G
165282,165283,L,2025-H2,,CW,O1,PL,,EN,,2394,,,
165282,165284,L,2025-H2,SO,HH,P1,PL,Rigid,,,451,,,G
165282,165284,L,2025-H2,PF,NH,P2,PC,,,,273,,,
165282,165284,L,2025-H2,IM,HH,P1,GL,,,,860,,,G
165282,165284,L,2025-H2,SO,HH,P1,AL,,,,129,,,G
165282,165284,L,2025-H2,,CW,O1,PL,,EN,,1505,,,
