organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,transitional_packaging_units,ram_rag_rating
165282,,L,2026-H1,SO,HH,P1,PL,Rigid,,,2585,,,G
165282,,L,2026-H1,PF,NH,P2,PC,,,,1586,,,
165282,,L,2026-H1,IM,HH,P1,GL,,,,4817,,,G
165282,,L,2026-H1,SO,HH,P1,AL,,,,717,,,G
165282,,L,2026-H1,,CW,O1,PL,,EN,,8577,,,
165282,165283,L,2026-H1,SO,HH,P1,PL,Rigid,,,905,,,G
165282,165283,L,2026-H1,PF,NH,P2,PC,,,,555,,,
165282,165283,L,2026-H1,IM,HH,P1,GL,,,,1686,,,G
165282,165283,L,2026-H1,SO,HH,P1,AL,,,,251,,,G
165282,165283,L,2026-H1,,CW,O1,PL,,EN,,3002,,,
165282,165284,L,2026-H1,SO,HH,P1,PL,Rigid,,,569,,,G
165282,165284,L,2026-H1,PF,NH,P2,PC,,,,349,,,
165282,165284,L,2026-H1,IM,HH,P1,GL,,,,1060,,,G
165282,165284,L,2026-H1,SO,HH,P1,AL,,,,158,,,G
165282,165284,L,2026-H1,,CW,O1,PL,,EN,,1887,,,
